Date,Time,Day (2019),Day (2020),Total hourly counts (2019),Toal hourly counts (2020)
30,15,Thursday,Saturday,42492,21454
30,16,Thursday,Saturday,51613,18616
30,17,Thursday,Saturday,68347,14833
30,18,Thursday,Saturday,48710,9271
30,19,Thursday,Saturday,29402,6634
30,20,Thursday,Saturday,22937,4883
30,21,Thursday,Saturday,18400,3579
30,22,Thursday,Saturday,12439,2418
30,23,Thursday,Saturday,6534,1679
31,0,Friday,Sunday,3704,1294
31,1,Friday,Sunday,1945,937
31,2,Friday,Sunday,1272,748
31,3,Friday,Sunday,1160,549
31,4,Friday,Sunday,1025,401
31,5,Friday,Sunday,2703,648
31,6,Friday,Sunday,8474,1036
31,7,Friday,Sunday,22875,1522
31,8,Friday,Sunday,45763,2688
31,9,Friday,Sunday,34752,5153
31,10,Friday,Sunday,28293,9035
31,11,Friday,Sunday,32157,14828
31,12,Friday,Sunday,50589,18451
31,13,Friday,Sunday,54713,19650
31,14,Friday,Sunday,43923,19753
31,15,Friday,Sunday,45042,17831
31,16,Friday,Sunday,51898,15001
31,17,Friday,Sunday,67798,11749
31,18,Friday,Sunday,53826,7658
31,19,Friday,Sunday,44319,4737
31,20,Friday,Sunday,29184,4020
31,21,Friday,Sunday,28772,2964
31,22,Friday,Sunday,32826,2035
31,23,Friday,Sunday,17165,1264
